Classification,Food Name,Moisture (water) (mg),Protein (mg),"Fat, total (mg)",Ash (mg),Total dietary fibre (mg),"Available carbohydrate, without sugar alcohols (mg)",Total sugars (mg),Starch (mg),Sodium (Na) (mg),Potassium (K) (mg),Calcium (Ca) (mg),Phosphorus (P) (mg),Magnesium (Mg) (mg),Iron (Fe) (mg),Zinc (Zn) (mg),Cholesterol (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin C (mg)
18501,"Sausage, beef, raw",61600.0,14500.0,18700.0,2400.0,0.0,2900.0,400.0,2500.0,740,240,12,183,11,1.3,2.6,51,0.023,0.08,3.8,0
18501,"Sausage, beef, fried, no added fat",58000.0,16400.0,18400.0,2600.0,400.0,4000.0,400.0,3600.0,788,206,11,200,68,1.37,3.05,56,0.0,0.32,3.7,1
18501,"Sausage, beef, grilled, no added fat",60000.0,17200.0,14900.0,2700.0,200.0,3800.0,400.0,3400.0,795,206,9,171,16,1.31,2.68,62,0.0,0.08,4.2,1
18501,"Sausage, chicken, plain, fried, no added fat",61600.0,18200.0,12000.0,2700.0,600.0,4900.0,800.0,4100.0,736,224,19,197,25,0.89,1.44,90,0.185,0.221,4.49,0
18501,"Sausage, chicken, flavoured, fried, no added fat",61600.0,18200.0,12000.0,2700.0,600.0,4900.0,800.0,4100.0,844,224,19,197,25,0.89,1.44,90,0.185,0.221,4.49,0
18501,"Sausage, lamb, plain, fried, no added fat",60000.0,15600.0,16100.000000000002,2600.0,400.0,4900.0,1300.0,3600.0,1050,206,11,200,68,1.37,3.05,56,0.0,0.32,0.0,1
18501,"Sausage, lamb, flavoured, fried, no added fat",60000.0,15600.0,16100.000000000002,2600.0,400.0,4900.0,1300.0,3600.0,770,206,11,200,68,1.37,3.05,56,0.0,0.32,0.0,1
18501,"Sausage, pork, fried, no added fat",55400.0,16500.0,19400.0,2900.0,1400.0,4500.0,700.0,3800.0,763,220,14,200,20,1.6,2.3,60,0.0,0.16,3.0,0
18603,"Sausage, chorizo, uncooked",51500.0,20100.0,22100.0,4000.0,500.0,1200.0,800.0,400.0,1100,300,12,220,19,1.5,2.7,140,0.46,0.14,4.5,0
18603,"Sausage, chorizo, fried, no added fat",48900.0,21200.0,23300.0,4200.0,500.0,1300.0,800.0,400.0,868,268,11,174,15,1.03,2.13,147,0.315,0.11,3.55,0
18603,"Salami, danish",36500.0,19600.0,40200.0,2900.0,0.0,1200.0,800.0,400.0,1485,265,20,200,19,1.5,3.16,108,0.18,0.18,4.6,0
18603,"Salami, hungarian",37300.0,21600.0,37400.0,3100.0,0.0,900.0,0.0,900.0,1730,265,22,220,21,2.4,3.46,96,0.3,0.18,5.7,0
18603,"Salami, mettwurst",36000.0,21900.0,37500.0,4700.0,0.0,800.0,500.0,300.0,1535,245,18,220,18,2.7,3.56,90,0.26,0.18,5.2,0
18603,"Salami, milano",34600.0,21700.0,36900.0,3100.0,0.0,2200.0,1000.0,1200.0,1495,280,28,220,24,2.1,4.02,102,0.12,0.21,5.7,0
18603,"Salami, pepperoni",35200.0,23500.0,36100.0,4600.0,0.0,1600.0,800.0,800.0,1400,290,22,220,27,2.8,4.02,114,0.36,0.21,5.1,0
